gene_symbol,log2fc,p_value,direction
NCK1,2.078168399,8.27E-11,up
MED13,2.077846566,2.93E-12,up
IGFBP3,2.077591671,4.96E-06,up
LOC101927027,2.077134441,1.39E-08,up
CEP152,2.076085343,9.35E-07,up
MRS2,2.075889636,2.34E-19,up
SSU72,-2.075557063,3.04E-10,down
TIPRL,2.074169203,5.16E-17,up
CALR,2.073834699,3.02E-14,up
TNS4,-2.073543671,5.52E-08,down
WDR26,2.073183993,1.27E-23,up
ACSS2,-2.072721322,2.89E-15,down
PCCB,2.071950147,8.30E-14,up
BMPR2,2.071850958,5.03E-16,up
PPP6R3,2.071379385,3.82E-16,up
FCGR2C,2.071248455,5.58E-07,up
TAC1,-2.071202601,5.74E-11,down
TET3,2.070875545,1.37E-16,up
UBE2G2,2.070760937,3.54E-13,up
SETD8,2.07033165,2.75E-19,up
NUP62,2.069979699,1.75E-15,up
PAFAH1B3,2.069516252,1.80E-15,up
GLTSCR2,-2.069258105,5.08E-19,down
CKAP4,2.067980252,1.61E-13,up
TRIO,2.067883832,1.31E-13,up
ERBB3,2.067449329,1.99E-06,up
ERLIN2,2.066941063,1.32E-05,up
CCDC80,-2.06683714,5.35E-05,down
CAP2,2.065543462,1.22E-05,up
SMEK2,2.064794699,3.40E-16,up
PASK,2.06374742,7.11E-12,up
RASGRP1,2.062839308,0.001619491,up
RFC4,2.061558098,8.87E-11,up
PRIM1,2.060969587,3.04E-07,up
,-2.060956559,9.80E-11,down
CACNA1D,2.060928937,0.004180523,up
PLP2,2.060669042,3.36E-14,up
LOC101928669,-2.060124343,1.09E-45,down
KMT2C,2.05968858,4.73E-18,up
BRIP1,2.058707671,0.000573332,up
SYNPO,-2.058291161,1.95E-11,down
,2.058108825,3.45E-11,up
,-2.057690951,7.20E-08,down
METTL21A,2.057451776,6.23E-10,up
PHLDB2,-2.057429923,4.07E-15,down
PLSCR1,2.056702357,2.26E-07,up
METTL7A,-2.05604286,1.67E-08,down
FAT2,-2.05575251,2.14E-10,down
KLHL12,2.054810846,4.61E-15,up
ARHGEF37,-2.054526881,9.78E-05,down
PPP2CA,2.054462825,9.12E-24,up
VAMP4,2.054279462,3.59E-11,up
,2.054251175,2.72E-10,up
SP100,2.053862769,1.11E-08,up
KIAA1324,2.053518888,0.000197079,up
SREK1,2.053497888,3.14E-12,up
SLC50A1,2.053403573,1.72E-18,up
CYBB,2.052840958,5.12E-07,up
PRMT1,2.052628126,1.02E-14,up
TJP1,2.052175462,6.48E-10,up
FMNL2,2.051971986,8.34E-08,up
C11orf80,2.051592594,7.71E-11,up
NR2F1,-2.051573098,0.000977839,down
ID2,2.049799972,4.05E-13,up
CTSZ,2.049250462,5.91E-10,up
PAQR4,2.048628951,1.83E-08,up
SDC2,2.048552804,4.88E-05,up
GABRE,-2.047859783,0.015308437,down
HECTD1,2.047065287,2.16E-09,up
ESPL1,2.046082699,2.25E-05,up
NCOA3,2.045960329,8.22E-13,up
ALDOC,-2.045913315,9.37E-05,down
CEP89,2.045773448,3.96E-13,up
GBP1,2.045185203,6.69E-05,up
TMEM200A,2.045137105,1.40E-06,up
RPN2,2.044847413,9.68E-25,up
,-2.044746259,3.98E-29,down
TMEM200B,-2.04442214,2.11E-07,down
CLIC3,2.044226587,0.003500258,up
GPATCH4,2.042830147,1.29E-14,up
MNDA,2.042136287,1.04E-07,up
SDF4,2.041924343,4.28E-16,up
,2.041828517,1.27E-13,up
PBX3,2.041514448,9.26E-08,up
C8orf44-SGK3,2.040729196,3.57E-05,up
CYLD,2.040279021,1.55E-09,up
MFSD4,-2.039081699,0.000683955,down
WNK1,2.038614706,1.19E-17,up
WIPF2,2.03838979,8.28E-05,up
TMEM14B,2.038304336,1.97E-17,up
BAMBI,2.037425748,0.000955161,up
VSTM4,-2.037382832,2.73E-15,down
FAHD2CP,-2.037204357,1.12E-17,down
UNK,2.03657907,7.60E-10,up
SOCS3,2.036554902,3.59E-07,up
PYROXD2,-2.036422762,1.25E-08,down
SETX,2.036272846,1.07E-13,up
PLXNA3,2.036059042,7.12E-11,up
NMD3,2.035940077,9.55E-10,up
SLCO3A1,-2.035765084,6.14E-08,down
GANAB,2.035740077,5.65E-17,up
,-2.034800867,3.35E-07,down
KIF5B,2.034648175,1.10E-10,up
HGSNAT,2.034641664,4.60E-07,up
,-2.03430007,9.83E-07,down
GPX3,-2.034066734,0.000461794,down
ABCB10,2.034007797,1.87E-14,up
PHF20L1,2.03394679,2.76E-15,up
,2.033315413,1.56E-14,up
UNC93B1,2.033074587,3.21E-08,up
GULP1,-2.032823685,0.000241634,down
PCID2,2.032745147,1.73E-13,up
TMF1,2.032554972,3.69E-15,up
GNL3L,2.032497559,5.14E-09,up
,-2.032464413,3.92E-07,down
COCH,2.032451077,1.63E-15,up
SLC1A4,2.032342133,2.02E-05,up
NME1,2.031956042,6.04E-09,up
USP47,2.03187935,9.52E-16,up
DSTN,2.031864825,1.79E-19,up
CPS1,-2.031623483,4.13E-27,down
CA5BP1,2.031536175,1.18E-12,up
FCGR2A,2.031453378,5.99E-09,up
ZNF367,2.030888476,1.06E-07,up
FARP2,2.030799587,1.19E-18,up
,-2.030547699,2.17E-08,down
RAE1,2.030203538,9.80E-19,up
IL4I1,2.029905056,6.11E-05,up
BEND5,-2.029793014,2.72E-12,down
FXYD6,-2.029661273,1.19E-06,down
TMEM251,2.02962942,4.27E-16,up
PCBD2,2.02954093,2.69E-16,up
,2.029337727,0.007091662,up
RSRC1,2.029249336,1.26E-08,up
CREBL2,2.028525497,7.07E-09,up
LOXL1,2.028509133,1.04E-06,up
FBXO9,2.02827249,7.87E-10,up
TMEM241,-2.028169476,1.98E-30,down
ADAMTS15,-2.028030189,0.011307904,down
IFIT3,2.027896357,0.000146302,up
NSDHL,2.027728007,1.11E-10,up
8-Sep,-2.027120916,2.98E-14,down
PTGIS,-2.026820769,6.92E-05,down
OSBP,2.026357671,5.50E-19,up
HILPDA,2.026279182,6.60E-08,up
,2.02599821,1.05E-19,up
DNMT1,2.025840287,2.57E-16,up
IL2RG,2.025828441,0.001155184,up
NSMAF,2.025238769,1.86E-10,up
PIK3R1,-2.025003825,1.02E-11,down
ZBTB1,2.023919741,1.34E-14,up
OASL,2.023700867,0.004263266,up
ANAPC10,2.023598531,4.48E-16,up
COBL,-2.023515497,8.43E-05,down
LAMA2,-2.022730322,6.11E-05,down
RHOH,2.022045042,0.002748155,up
CYTIP,2.022037979,6.04E-05,up
COMT,2.021671951,3.10E-13,up
EEF1E1,2.020449189,1.74E-14,up
ACADS,-2.020373965,1.43E-28,down
HMGCS1,2.020371573,0.000105395,up
OCLN,2.020242608,3.53E-08,up
AL928768.3,-2.02023035,1.08E-12,down
PTGFRN,2.01965758,2.84E-10,up
TM9SF2,2.019163944,1.62E-19,up
STAU1,2.018859706,5.20E-24,up
MASTL,2.018646657,2.15E-07,up
TLR1,2.017637573,0.000240794,up
SUDS3,2.017463552,6.29E-14,up
VPS51,-2.01731021,2.99E-22,down
SHC1,2.017231615,5.66E-16,up
MBOAT2,2.017094825,2.34E-09,up
DDIAS,2.016985909,0.000118791,up
GSK3B,2.015889455,3.51E-19,up
CTSF,-2.015734825,2.00E-10,down
TMSB15A,2.014389853,0.018532949,up
PRRX1,2.014318783,0.000450862,up
B3GALT5,-2.014058385,1.53E-05,down
,2.013809587,0.003812022,up
LSG1,2.013646699,2.18E-14,up
CD47,2.01324228,1.69E-08,up
ECE2,2.012072205,6.06E-05,up
ARHGAP6,-2.012012615,8.31E-07,down
RARRES2,-2.011639545,2.21E-06,down
DENND1B,2.01096721,8.17E-10,up
MCM8,2.010166021,1.69E-11,up
NR3C1,-2.010004657,2.11E-13,down
CTNND1,2.009865378,7.62E-17,up
PUS7,2.009785552,8.79E-11,up
COMMD2,2.009096846,1.86E-09,up
CEP76,2.008791972,5.05E-13,up
COQ10B,2.007973531,1.54E-19,up
BARD1,2.007940476,4.86E-09,up
LARP4,2.007649308,1.71E-14,up
HOXD9,-2.007428783,2.21E-31,down
YES1,2.007385993,1.67E-09,up
CHFR,2.007252839,4.30E-13,up
HSPA6,2.007075455,3.03E-07,up
STAM2,2.006750937,7.16E-20,up
SRP9,2.00651,2.81E-32,up
UBE2Q1,2.006076133,5.91E-19,up
STAT3,2.006023329,1.73E-15,up
GDF15,2.005924993,0.004624172,up
MSR1,2.005780035,7.40E-08,up
ADRB1,-2.005552755,0.000114803,down
ZNF259P1,2.005417972,8.91E-13,up
COG2,2.004189245,1.31E-17,up
RTN1,-2.003557007,0.000740569,down
S100A11,2.003224196,1.22E-16,up
EHF,-2.003134308,0.000787578,down
FTX,2.003042657,6.00E-08,up
PITRM1,2.002928133,2.91E-12,up
PRSS23,2.001798427,3.23E-06,up
MGAT4A,2.001397098,2.95E-08,up
,2.000330175,2.99E-12,up
GPRASP1,-1.999960112,7.43E-10,down
TMEM106B,1.999638014,1.19E-11,up
CD55,1.999435895,1.73E-09,up
SLC25A37,1.998508028,0.000228444,up
MFSD6,1.99818842,7.60E-07,up
GALNT15,-1.998040741,7.72E-08,down
MYBL2,1.997860797,8.95E-06,up
STARD4,1.997152049,7.32E-08,up
PRELP,-1.99703314,8.34E-05,down
ITGBL1,-1.996959287,0.001917957,down
MIER3,1.996592769,1.43E-09,up
GGA2,1.996052105,1.98E-13,up
SLC44A1,1.995877559,9.53E-11,up
TDRKH,1.994156867,8.01E-06,up
RFC2,1.993726545,1.17E-14,up
C18orf8,1.993610028,2.11E-18,up
BLM,1.993059119,0.000154418,up
CD59,-1.993013322,1.56E-08,down
,1.992581573,5.56E-13,up
ZNF451,1.992549469,2.84E-18,up
ASPSCR1,1.992373455,4.38E-11,up
LOC101930052,-1.992177601,3.18E-05,down
RUNDC3B,-1.991515392,6.14E-08,down
FCRL2,-1.99140558,1.29E-22,down
C1orf112,1.991279161,1.55E-06,up
EHMT1,1.99116514,2.33E-14,up
STT3A,1.990697168,1.62E-15,up
ACOT7,1.990188364,9.71E-08,up
FAR1,1.989903622,6.08E-08,up
SAA2-SAA4,-1.989740063,3.42E-08,down
CENPN,1.989230888,0.00012963,up
TUBG1,1.989081993,4.92E-13,up
TXNL1,-1.988260427,8.30E-10,down
B4GALT6,-1.988136503,4.26E-14,down
SOX9,1.987741622,0.000431855,up
KLHL7,1.987017014,5.81E-05,up
NFE2L3,1.986239154,0.000323659,up
TLE2,-1.986185014,9.72E-06,down
RAB11B-AS1,-1.986133224,1.27E-22,down
MEX3D,1.985146168,1.59E-06,up
VPS37A,1.984728133,8.21E-12,up
CRLS1,1.984364259,1.73E-13,up
NUP50,1.983951322,3.33E-08,up
PC,-1.983135343,2.76E-08,down
,1.982967308,2.14E-14,up
SDS,1.982478399,8.72E-09,up
11-Sep,-1.982007196,3.35E-12,down
TOMM22,1.981630448,7.16E-13,up
TTC37,1.98119742,6.16E-16,up
RAN,1.980245944,2.49E-19,up
LOC100996643,1.979719727,7.28E-05,up
C1orf27,1.979194944,2.05E-23,up
LOC100289097,-1.979034119,6.53E-14,down
CD48,1.978887287,0.000258931,up
EPB41L3,1.978745007,7.42E-05,up
RHBDD2,1.978642077,5.85E-09,up
KRCC1,1.978413622,3.46E-13,up
SMIM13,1.978383615,2.04E-11,up
ITFG1,1.977969531,3.66E-13,up
EIF4G3,1.977933112,3.83E-11,up
EBF3,-1.976387119,4.27E-10,down
ANXA9,1.976034133,0.006215133,up
KRAS,1.975867343,1.17E-20,up
RPL23AP32,-1.973775573,3.03E-15,down
ABCG1,1.973598685,1.38E-08,up
CEACAM5,1.973429783,0.04863148,up
HRASLS5,-1.97328893,2.02E-05,down
ATP6V1B2,1.973232762,6.90E-16,up
SLC35A2,1.973069252,3.33E-16,up
,-1.972996559,7.14E-12,down
NRN1,-1.972663552,0.000535337,down
SMEK1,1.972477056,3.97E-21,up
BIN1,-1.971946245,1.06E-08,down
CEP70,1.971710951,1.53E-07,up
,-1.97131279,1.24E-37,down
ARL2BP,1.970062343,3.14E-16,up
RALA,1.969465126,2.75E-13,up
LOC100996724,1.968766965,6.16E-08,up
SP1,1.968461497,2.63E-07,up
OLFML2A,-1.96844451,1.68E-06,down
DMXL2,1.968026615,7.02E-14,up
PRAME,1.967609199,0.019491824,up
POLR1B,1.967431021,4.04E-13,up
COL21A1,-1.967409741,1.60E-10,down
CDC73,1.967365497,1.93E-18,up
ALDH3B2,1.967198014,0.003520589,up
ATP6V0A2,1.967184455,2.11E-10,up
AMOTL1,-1.967066245,1.94E-08,down
,1.966831825,1.35E-11,up
CDK2,1.966072406,8.90E-14,up
GTF2I,1.965962441,3.25E-12,up
ORC5,1.964653063,6.38E-10,up
MTCH2,1.964574804,3.72E-12,up
KIF26A,-1.964365678,2.01E-11,down
GALE,1.964334734,1.69E-08,up
STRN,1.963717483,5.29E-12,up
MIR6741,1.963550503,6.62E-21,up
ABHD2,1.962322685,2.42E-05,up
TMEM87B,1.962024797,8.02E-13,up
DAPK2,-1.962005056,2.70E-17,down
AZGP1,-1.961868343,0.025810958,down
TTC18,-1.961628783,0.001496314,down
RGS12,-1.961489734,1.72E-10,down
SMAD9,-1.961476497,2.70E-05,down
CARS,1.961133357,2.62E-08,up
,1.96023307,6.19E-07,up
TPM1,1.960199,1.73E-08,up
HSPE1,1.959968392,7.54E-19,up
CASC5,1.959731734,3.17E-06,up
ELMO2,1.959606455,5.88E-15,up
MMP13,1.958954469,0.005516087,up
AL833181,-1.958035196,0.009528412,down
EGFR,-1.957978636,0.000130034,down
BLNK,1.957624832,2.42E-06,up
TMEM14A,1.956881811,1.70E-17,up
DIDO1,1.95636565,4.26E-14,up
TCF7L1,-1.956303937,0.003114664,down
NDFIP2,1.955931294,6.02E-14,up
MIR4680,1.955930818,2.55E-05,up
,1.955116238,6.05E-05,up
ATHL1,-1.955036566,0.003198491,down
CLIP1,1.954834531,3.52E-09,up
CENPM,1.954299657,1.61E-06,up
HNRNPR,1.954184965,8.82E-20,up
NUS1,1.953630713,3.24E-12,up
TSPAN31,1.951483147,8.16E-08,up
NUPL1,1.951314692,1.55E-14,up
TMEM158,1.951066126,0.001832781,up
USP14,1.950434783,2.19E-20,up
TRAM2,1.950280923,4.12E-14,up
MTDH,1.949878238,6.83E-14,up
IGKV1OR2-108,1.949484147,0.01452543,up
BCAT1,1.949398874,2.08E-05,up
INPP4A,1.949242776,5.89E-15,up
RHNO1,1.949149818,3.25E-09,up
MLLT10,1.947570797,2.95E-12,up
FAM96A,1.947127552,8.06E-24,up
RIPK2,1.945303685,8.50E-09,up
TAGLN,-1.94494842,1.84E-18,down
SPOPL,1.944918951,3.04E-10,up
TWIST2,-1.944220979,1.82E-06,down
CD34,-1.943985063,3.47E-18,down
IL32,1.943790112,0.000120334,up
GIMAP1,-1.94358151,1.70E-06,down
XIAP,1.942737741,1.98E-22,up
CASP8,1.942293594,5.65E-14,up
LOC101927673,1.942094441,3.37E-20,up
ERI1,1.942069028,5.39E-09,up
DACT1,1.94183242,0.000672412,up
SLC44A2,1.941544427,3.48E-10,up
CHD1,1.940415301,2.06E-18,up
,1.939768587,4.70E-13,up
ABCA5,-1.93972149,3.36E-08,down
PAIP2,1.939472538,4.57E-19,up
NAA15,1.939403028,2.96E-15,up
DDR2,-1.939252098,3.24E-09,down
C10orf54,-1.939167133,6.96E-13,down
C12orf73,1.938962371,3.47E-12,up
SRFBP1,1.93887742,6.97E-17,up
,1.93857779,4.44E-10,up
PALM,-1.938343294,4.17E-13,down
,-1.937993084,8.22E-07,down
,1.937881993,3.25E-06,up
WNT5A,1.936927573,0.000274453,up
BICD2,1.936751804,1.51E-12,up
MIB1,1.936383315,4.33E-16,up
ATF7,1.936279371,8.38E-11,up
HSPA14,1.93621707,3.52E-11,up
EGLN3,1.935655063,0.001176511,up
RNF180,-1.934788196,2.86E-27,down
SPON1,-1.934451126,0.00084871,down
IL17B,-1.934350573,5.14E-11,down
SPDL1,1.934297965,2.48E-08,up
SLC1A1,1.934243308,0.03260173,up
EXOC2,1.934049769,5.93E-06,up
STAG2,1.933870154,6.45E-16,up
CMTM7,-1.933656594,4.78E-12,down
SETBP1,-1.932865441,0.000521425,down
GZMA,1.932599972,0.003788161,up
ELP3,-1.932382273,7.40E-11,down
HAT1,1.932273615,5.86E-24,up
CDKN2A,1.932212497,0.000769142,up
ARPC1A,1.931980636,1.38E-16,up
TCEAL7,-1.931689035,8.45E-07,down
PSMA3,1.93125293,9.70E-18,up
TOPBP1,1.930292657,4.24E-16,up
TMED5,1.930204629,6.76E-12,up
CGNL1,-1.930104266,0.000237107,down
TAT,-1.930094084,3.00E-18,down
PDIA4,1.930080399,3.67E-20,up
CCDC47,1.930059923,2.33E-11,up
SMARCA2,1.929976706,2.36E-06,up
TNN,-1.929589315,2.10E-05,down
RUNX2,1.928476503,2.33E-05,up
HIATL2,1.927982406,7.29E-10,up
COPB2,1.927845245,4.73E-22,up
STXBP1,-1.927810587,2.38E-05,down
UBE2V2,1.927556755,1.22E-14,up
RPAP3,1.926468965,8.89E-21,up
ND6,-1.926265692,4.87E-14,down
FGD6,1.925777329,1.98E-07,up
C10orf10,-1.924786783,6.28E-06,down
TFEC,1.924373846,0.000365347,up
RPF1,-1.924099846,2.39E-21,down
FAM47E,-1.923824357,1.67E-07,down
,1.923697385,1.34E-07,up
BLOC1S6,1.923500643,2.99E-19,up
PTX3,-1.92293565,0.006068321,down
ZFAS1,1.922826874,2.94E-10,up
HUS1,1.922116091,1.40E-11,up
CAPS,1.921811469,0.000761522,up
MIR6834,1.921581308,1.19E-14,up
,1.921420287,3.80E-06,up
TMEM43,1.921287,5.85E-12,up
SSH1,1.921129853,7.53E-15,up
TTC17,1.920463434,1.04E-11,up
JADE1,-1.920158671,2.05E-16,down
HIST1H4H,1.920037594,0.003893621,up
EMC8,1.919931636,2.81E-09,up
UBE2I,-1.919172594,1.53E-05,down
MTO1,1.917726545,4.62E-19,up
,1.917597727,2.66E-06,up
COL4A1,1.917571469,3.22E-08,up
TMEM132A,1.916607133,1.09E-06,up
DENR,1.916120958,1.85E-15,up
TMED10,1.915213958,1.07E-17,up
TGDS,1.914910993,2.27E-12,up
UXS1,1.913188818,5.45E-14,up
RHOU,-1.912848741,1.28E-06,down
FBRSL1,-1.91284779,8.36E-08,down
FAM214A,1.912771322,8.89E-05,up
FAM228B,-1.912230371,8.36E-09,down
EVI2A,1.911261427,2.31E-07,up
LPIN2,1.911103615,4.07E-08,up
ABHD10,1.911030406,1.08E-11,up
ANKDD1A,-1.910694629,1.29E-18,down
UBE2F,1.910292566,1.62E-21,up
GPC4,1.910210692,0.001115461,up
DNAJC7,1.910140846,2.72E-10,up
LINC00663,-1.909978112,8.25E-10,down
TOR1AIP1,1.909727357,2.41E-10,up
ZBTB21,1.909496014,3.01E-12,up
DIS3,1.909418993,1.15E-11,up
NAA20,1.909316986,1.19E-17,up
CSTA,-1.909255979,0.005260779,down
SPCS2,1.909094378,6.88E-19,up
MPPED2,-1.908593203,6.68E-05,down
FBXO22,1.908363825,5.70E-16,up
SASH1,-1.908319622,7.92E-09,down
MINPP1,1.907346497,2.48E-09,up
TPR,1.907179909,2.96E-07,up
AGFG1,1.906216734,1.22E-13,up
TBX15,-1.905578077,4.12E-19,down
SYT13,1.905189888,0.01801864,up
GLIPR1,1.905146063,1.62E-07,up
,1.905082224,6.78E-18,up
RTP4,1.904780133,0.007490856,up
MITD1,1.904567483,1.11E-17,up
MAT2A,1.904221427,1.16E-07,up
MTFR2,1.903847566,0.001484473,up
MLX,1.903152357,7.93E-16,up
SRP54,1.90301214,1.74E-19,up
GLG1,-1.90294849,2.14E-13,down
GABARAPL1,-1.902872483,1.79E-14,down
GGCX,1.902304643,1.05E-08,up
SUMO3,1.902124322,2.35E-17,up
CASD1,1.902116958,1.85E-05,up
G3BP1,1.901848566,1.69E-18,up
CYBA,1.901756629,1.72E-08,up
MRGPRF,-1.901183119,5.03E-08,down
,1.900884,3.48E-10,up
FPR1,1.900652126,2.44E-05,up
C1orf213,-1.899840322,7.05E-19,down
,1.899823986,0.000121306,up
STIL,1.899264077,6.73E-07,up
EFCAB11,1.899222692,5.14E-07,up
RPAP2,1.898686902,3.40E-15,up
,1.898670706,1.24E-07,up
CBS,1.897168902,0.003016959,up
GRTP1,1.89657642,5.45E-09,up
TINCR,1.895924476,0.003835573,up
,-1.895576699,4.27E-21,down
CUL1,1.895538273,5.86E-18,up
,-1.894714685,1.33E-10,down
LPHN3,-1.894222538,6.41E-09,down
GFPT2,1.893810161,0.00014777,up
,-1.893765399,1.08E-05,down
C5orf46,1.893454364,0.004804345,up
TBC1D9,1.893197224,0.008501186,up
,1.89290493,2.95E-08,up
BTG3,1.89238607,7.52E-05,up
MX1,1.891966455,0.0008029,up
C1orf116,-1.891223755,0.003715906,down
LINC01000,1.891039266,1.57E-11,up
PSAP,1.890880063,7.16E-17,up
EIF5,1.889801028,6.75E-16,up
LOC100129518,1.889442741,0.000302498,up
LYRM2,1.889314357,2.11E-15,up
CD53,1.888977615,3.59E-07,up
TOM1L1,1.888712664,8.61E-09,up
PSME3,1.888427888,3.24E-10,up
SPRY2,-1.887382769,3.50E-05,down
BPGM,1.88714528,2.17E-13,up
LAMC2,-1.886632608,0.000632306,down
ISCA2,1.886507713,5.45E-15,up
HSPA9,1.886414021,1.28E-20,up
AX746823,1.886374552,6.65E-06,up
TMEM178A,-1.885721979,1.64E-05,down
ASF1B,1.885632993,1.19E-08,up
10-Sep,1.88542158,4.01E-08,up
,-1.885003364,0.002053434,down
TADA1,1.884855308,3.48E-14,up
MAGOHB,1.884450315,1.11E-07,up
C3orf14,1.884305993,3.49E-06,up
OSTF1,1.88428621,2.79E-14,up
TIMM22,-1.88425372,6.61E-11,down
SCCPDH,1.884130706,1.27E-05,up
SLC20A2,1.88401193,1.07E-08,up
SMG8,1.883833056,2.93E-09,up
,1.883805552,9.99E-11,up
ZBTB4,-1.882992566,6.58E-17,down
TMEM168,1.882834566,4.90E-09,up
KDM1B,1.882727685,7.30E-12,up
,-1.882369168,1.45E-11,down
GRSF1,1.882297028,2.75E-17,up
KLHL21,-1.882072378,7.10E-12,down
TYMP,1.880839825,3.41E-06,up
,-1.880786979,2.62E-14,down
RPP14,1.880389315,5.31E-16,up
CXCL8,1.880289825,0.012659764,up
PDS5A,1.880067692,1.12E-10,up
CDK16,1.879095077,1.46E-10,up
USP18,1.879022252,1.58E-05,up
LINC00173,-1.878944392,0.005571234,down
RABEP1,1.878676392,0.000104244,up
NBN,1.878196448,9.28E-12,up
CD274,1.87772642,0.00490754,up
IRF7,1.877681056,4.75E-06,up
IL11RA,-1.877458217,4.04E-19,down
GORAB,1.876895594,7.64E-17,up
ITGA1,-1.876828259,1.30E-07,down
CAPN15,1.876805615,1.97E-11,up
NDUFC2,-1.87651851,2.16E-36,down
RBPMS2,-1.876460243,1.15E-10,down
STC1,1.876174727,0.007405265,up
COPB1,1.876099161,8.44E-23,up
,1.875951503,8.69E-09,up
MIR6883,-1.874289685,2.68E-16,down
HM13,1.874147154,2.04E-14,up
OSGIN2,1.873961021,2.16E-07,up
CDR2,1.87390972,3.26E-21,up
,1.873731434,1.43E-13,up
ABL2,1.873484,2.60E-13,up
GOSR2,1.87322142,1.86E-15,up
MOSPD1,1.87279893,9.03E-13,up
LOC102725271,1.872793161,0.001338752,up
RANBP1,1.872447357,4.65E-12,up
CLN3,1.871761818,1.09E-10,up
XRCC5,1.871301608,1.92E-16,up
TMEM248,1.870341273,2.70E-26,up
ARF3,1.869915224,1.79E-14,up
VDAC3,1.869868399,2.82E-11,up
TMEM209,1.869533028,9.74E-14,up
FAM178A,1.86944579,1.59E-14,up
RAI14,1.868732406,2.02E-10,up
,-1.868519629,0.000306802,down
WSB2,1.868453944,1.09E-16,up
,1.868406615,4.36E-12,up
BNIP3,1.868202552,3.39E-06,up
ZNF195,1.868032245,5.89E-12,up
GFRA1,-1.867538811,0.049259605,down
C6orf132,1.867468783,4.08E-08,up
RPS10,-1.86740472,8.19E-26,down
TOX3,1.867305161,0.029926376,up
USP46,1.866714594,5.22E-10,up
STC2,-1.86667165,0.021641099,down
TMCC1,1.866642804,9.95E-15,up
DICER1-AS1,-1.866039825,6.92E-14,down
RBMS1,1.864893524,4.11E-08,up
FAM49B,1.864037483,2.87E-10,up
STAU2,1.863638322,5.97E-09,up
ZNF318,1.863610266,3.24E-13,up
GPD2,1.863592217,3.49E-13,up
MRPS7,1.862982839,8.32E-11,up
CD99,1.86295235,1.01E-09,up
LEF1,1.862778825,1.85E-06,up
ZNF586,1.862631196,2.00E-10,up
XBP1,-1.862062049,4.97E-13,down
PCNP,1.861480678,5.33E-13,up
LHFP,-1.861318014,6.58E-14,down
FGFR1,-1.860580224,1.33E-06,down
RNF126,1.859793042,8.43E-14,up
GNB5,1.859372434,2.53E-06,up
HMGN4,1.859286699,5.60E-12,up
INIP,1.859002469,4.51E-18,up
TGM2,1.858871909,2.54E-06,up
TMTC4,1.858847056,2.26E-06,up
MYCT1,-1.858589566,1.04E-20,down
RP11-124L9.5,-1.858516217,1.33E-06,down
PCDH9,-1.858011531,6.36E-15,down
MMAB,-1.857584923,7.29E-17,down
CXADR,1.857130231,0.004446595,up
CPE,-1.857011294,0.000234386,down
,1.85690193,1.60E-09,up
EXOC4,1.856714608,4.55E-10,up
C5AR1,1.856303126,4.70E-08,up
DAAM2,-1.856193559,8.90E-09,down
LOC283788,-1.85593942,1.24E-15,down
ZNF43,1.855029427,1.00E-08,up
PTPN11,1.854650923,5.53E-14,up
LOC100996412,-1.853944692,1.11E-09,down
CDKN2C,-1.853935406,9.48E-06,down
SAMD9,1.853880084,1.22E-05,up
DNMT3A,1.853860259,7.20E-10,up
ATP2B1,1.85374607,1.04E-08,up
1-Mar,-1.85352372,1.11E-06,down
ARNT2,1.853401455,0.001445989,up
PKMYT1,1.852704042,1.76E-07,up
CCBE1,-1.852628427,2.00E-17,down
HIPK1,1.852555965,3.69E-15,up
ABHD3,1.852497329,2.58E-13,up
KIAA0196,1.852465007,7.56E-14,up
RNF114,1.851813993,4.12E-12,up
NPNT,1.851649266,0.018065996,up
RGL1,-1.851565,9.13E-10,down
,1.851504636,1.22E-10,up
MYO19,1.851489559,6.04E-09,up
RP11-295G20.2,1.850942888,5.29E-05,up
HCK,1.85069814,6.17E-06,up
APOO,1.850532524,2.28E-10,up
ADHFE1,-1.850475552,9.79E-08,down
,-1.85024821,5.68E-12,down
LINC01279,-1.849953455,0.013135456,down
SEH1L,1.849673105,8.39E-07,up
TANC2,1.849398147,0.000205631,up
MRPS28,1.849195098,1.20E-12,up
BCAP29,1.848656112,7.58E-14,up
FRMD4A,-1.848368259,5.42E-08,down
GAPVD1,1.848150979,3.77E-17,up
LINC00893,-1.847978042,3.28E-13,down
MAP1A,-1.84780379,2.05E-07,down
GRPEL1,1.847308161,1.16E-13,up
PRR15L,1.847034436,0.003944964,up
FAT3,-1.846743056,9.32E-07,down
CAMK2N1,1.846576829,0.002665847,up
DSCR3,1.846254406,3.99E-17,up
PNPLA7,-1.846225916,1.55E-22,down
MYO5B,1.845837888,3.91E-06,up
AIFM2,-1.845699895,3.78E-12,down
C7orf73,1.844895762,7.43E-17,up
AKT1,1.844751538,7.92E-09,up
MFI2,-1.844514559,0.000571712,down
LAMP2,1.844137014,1.50E-12,up
SCAMP1,1.84388649,1.62E-07,up
CABLES2,1.842999385,1.81E-08,up
EMC2,1.842658077,2.98E-15,up
RFX5,1.841697259,1.92E-10,up
ARHGAP8,1.840811385,9.58E-05,up
CCDC125,1.839797476,8.88E-05,up
BCOR,1.83963728,5.80E-11,up
CST6,1.839603531,0.004816134,up
NAP1L5,-1.839311622,1.91E-05,down
DHX40,1.838650392,3.89E-07,up
AIFM1,1.838288413,1.11E-12,up
